,model,metric,mode,epoch,run,value
0,BaseNet34,Average Accuracy,train,25,0,0.73
1,BaseNet34,Running Average Accuracy,train,25,0,0.73
2,BaseNet34,Average Loss,train,25,0,0.9
3,BaseNet34,Running Average Loss,train,25,0,0.9
4,BaseNet34,Average Precision,train,25,0,0.77
5,BaseNet34,Average Recall,train,25,0,0.73
6,BaseNet34,Average F1-Score,train,25,0,0.73
7,BaseNet34,Average ROC AUC,train,25,0,0.967657
8,BaseNet34,Average Accuracy,val,25,0,0.76
9,BaseNet34,Running Average Accuracy,val,25,0,0.77
10,BaseNet34,Average Loss,val,25,0,0.83
11,BaseNet34,Running Average Loss,val,25,0,0.81
12,BaseNet34,Average Precision,val,25,0,0.78
13,BaseNet34,Average Recall,val,25,0,0.76
14,BaseNet34,Average F1-Score,val,25,0,0.75
15,BaseNet34,Average ROC AUC,val,25,0,0.970843
16,BaseNet34,Average Accuracy,train,50,0,0.82
17,BaseNet34,Running Average Accuracy,train,50,0,0.82
18,BaseNet34,Average Loss,train,50,0,0.67
19,BaseNet34,Running Average Loss,train,50,0,0.66
20,BaseNet34,Average Precision,train,50,0,0.82
21,BaseNet34,Average Recall,train,50,0,0.82
22,BaseNet34,Average F1-Score,train,50,0,0.82
23,BaseNet34,Average ROC AUC,train,50,0,0.97957
24,BaseNet34,Average Accuracy,val,50,0,0.82
25,BaseNet34,Running Average Accuracy,val,50,0,0.82
26,BaseNet34,Average Loss,val,50,0,0.62
27,BaseNet34,Running Average Loss,val,50,0,0.62
28,BaseNet34,Average Precision,val,50,0,0.83
29,BaseNet34,Average Recall,val,50,0,0.82
30,BaseNet34,Average F1-Score,val,50,0,0.82
31,BaseNet34,Average ROC AUC,val,50,0,0.981053
32,DenseNet34,Average Accuracy,train,25,0,0.73
33,DenseNet34,Running Average Accuracy,train,25,0,0.73
34,DenseNet34,Average Loss,train,25,0,0.87
35,DenseNet34,Running Average Loss,train,25,0,0.87
36,DenseNet34,Average Precision,train,25,0,0.73
37,DenseNet34,Average Recall,train,25,0,0.73
38,DenseNet34,Average F1-Score,train,25,0,0.73
39,DenseNet34,Average ROC AUC,train,25,0,0.961772
40,DenseNet34,Average Accuracy,val,25,0,0.75
41,DenseNet34,Running Average Accuracy,val,25,0,0.75
42,DenseNet34,Average Loss,val,25,0,0.79
43,DenseNet34,Running Average Loss,val,25,0,0.79
44,DenseNet34,Average Precision,val,25,0,0.75
45,DenseNet34,Average Recall,val,25,0,0.75
46,DenseNet34,Average F1-Score,val,25,0,0.74
47,DenseNet34,Average ROC AUC,val,25,0,0.967364
48,DenseNet34,Average Accuracy,train,50,0,0.78
49,DenseNet34,Running Average Accuracy,train,50,0,0.78
50,DenseNet34,Average Loss,train,50,0,0.68
51,DenseNet34,Running Average Loss,train,50,0,0.68
52,DenseNet34,Average Precision,train,50,0,0.79
53,DenseNet34,Average Recall,train,50,0,0.78
54,DenseNet34,Average F1-Score,train,50,0,0.78
55,DenseNet34,Average ROC AUC,train,50,0,0.976587
56,DenseNet34,Average Accuracy,val,50,0,0.79
57,DenseNet34,Running Average Accuracy,val,50,0,0.79
58,DenseNet34,Average Loss,val,50,0,0.64
59,DenseNet34,Running Average Loss,val,50,0,0.62
60,DenseNet34,Average Precision,val,50,0,0.8
61,DenseNet34,Average Recall,val,50,0,0.79
62,DenseNet34,Average F1-Score,val,50,0,0.79
63,DenseNet34,Average ROC AUC,val,50,0,0.979097
64,FractalNet4,Average Accuracy,train,25,0,0.72
65,FractalNet4,Running Average Accuracy,train,25,0,0.71
66,FractalNet4,Average Loss,train,25,0,0.87
67,FractalNet4,Running Average Loss,train,25,0,0.9
68,FractalNet4,Average Precision,train,25,0,0.73
69,FractalNet4,Average Recall,train,25,0,0.72
70,FractalNet4,Average F1-Score,train,25,0,0.72
71,FractalNet4,Average ROC AUC,train,25,0,0.957653
72,FractalNet4,Average Accuracy,val,25,0,0.74
73,FractalNet4,Running Average Accuracy,val,25,0,0.77
74,FractalNet4,Average Loss,val,25,0,0.82
75,FractalNet4,Running Average Loss,val,25,0,0.72
76,FractalNet4,Average Precision,val,25,0,0.76
77,FractalNet4,Average Recall,val,25,0,0.74
78,FractalNet4,Average F1-Score,val,25,0,0.74
79,FractalNet4,Average ROC AUC,val,25,0,0.962246
80,FractalNet4,Average Accuracy,train,50,0,0.82
81,FractalNet4,Running Average Accuracy,train,50,0,0.82
82,FractalNet4,Average Loss,train,50,0,0.57
83,FractalNet4,Running Average Loss,train,50,0,0.58
84,FractalNet4,Average Precision,train,50,0,0.83
85,FractalNet4,Average Recall,train,50,0,0.82
86,FractalNet4,Average F1-Score,train,50,0,0.82
87,FractalNet4,Average ROC AUC,train,50,0,0.982831
88,FractalNet4,Average Accuracy,val,50,0,0.82
89,FractalNet4,Running Average Accuracy,val,50,0,0.81
90,FractalNet4,Average Loss,val,50,0,0.57
91,FractalNet4,Running Average Loss,val,50,0,0.58
92,FractalNet4,Average Precision,val,50,0,0.83
93,FractalNet4,Average Recall,val,50,0,0.82
94,FractalNet4,Average F1-Score,val,50,0,0.82
95,FractalNet4,Average ROC AUC,val,50,0,0.982513
96,NiN_Net34,Average Accuracy,train,25,0,0.73
97,NiN_Net34,Running Average Accuracy,train,25,0,0.72
98,NiN_Net34,Average Loss,train,25,0,0.89
99,NiN_Net34,Running Average Loss,train,25,0,0.9
100,NiN_Net34,Average Precision,train,25,0,0.73
101,NiN_Net34,Average Recall,train,25,0,0.73
102,NiN_Net34,Average F1-Score,train,25,0,0.73
103,NiN_Net34,Average ROC AUC,train,25,0,0.961441
104,NiN_Net34,Average Accuracy,val,25,0,0.73
105,NiN_Net34,Running Average Accuracy,val,25,0,0.75
106,NiN_Net34,Average Loss,val,25,0,0.85
107,NiN_Net34,Running Average Loss,val,25,0,0.84
108,NiN_Net34,Average Precision,val,25,0,0.74
109,NiN_Net34,Average Recall,val,25,0,0.73
110,NiN_Net34,Average F1-Score,val,25,0,0.73
111,NiN_Net34,Average ROC AUC,val,25,0,0.9641
112,NiN_Net34,Average Accuracy,train,50,0,0.69
113,NiN_Net34,Running Average Accuracy,train,50,0,0.68
114,NiN_Net34,Average Loss,train,50,0,0.93
115,NiN_Net34,Running Average Loss,train,50,0,0.93
116,NiN_Net34,Average Precision,train,50,0,0.7
117,NiN_Net34,Average Recall,train,50,0,0.69
118,NiN_Net34,Average F1-Score,train,50,0,0.68
119,NiN_Net34,Average ROC AUC,train,50,0,0.953595
120,NiN_Net34,Average Accuracy,val,50,0,0.71
121,NiN_Net34,Running Average Accuracy,val,50,0,0.71
122,NiN_Net34,Average Loss,val,50,0,0.85
123,NiN_Net34,Running Average Loss,val,50,0,0.85
124,NiN_Net34,Average Precision,val,50,0,0.72
125,NiN_Net34,Average Recall,val,50,0,0.71
126,NiN_Net34,Average F1-Score,val,50,0,0.71
127,NiN_Net34,Average ROC AUC,val,50,0,0.960773
128,MG16,Average Accuracy,train,25,0,0.81
129,MG16,Running Average Accuracy,train,25,0,0.81
130,MG16,Average Loss,train,25,0,0.73
131,MG16,Running Average Loss,train,25,0,0.72
132,MG16,Average Precision,train,25,0,0.81
133,MG16,Average Recall,train,25,0,0.81
134,MG16,Average F1-Score,train,25,0,0.81
135,MG16,Average ROC AUC,train,25,0,0.978295
136,MG16,Average Accuracy,val,25,0,0.81
137,MG16,Running Average Accuracy,val,25,0,0.81
138,MG16,Average Loss,val,25,0,0.69
139,MG16,Running Average Loss,val,25,0,0.69
140,MG16,Average Precision,val,25,0,0.82
141,MG16,Average Recall,val,25,0,0.81
142,MG16,Average F1-Score,val,25,0,0.81
143,MG16,Average ROC AUC,val,25,0,0.978572
